City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Concarneau,FR,47.875,-3.9225,45.37,68,86,18.66,overcast clouds
168,Klaksvik,FO,62.2266,-6.589,38.32,57,99,19.39,overcast clouds
169,Pisco,PE,-13.7,-76.2167,65.01,88,0,14.97,clear sky
170,Ancud,CL,-41.8697,-73.8203,54.93,78,0,3.53,clear sky
171,Kodiak,US,57.79,-152.4072,24.31,74,40,4.61,scattered clouds
172,Tautira,PF,-17.7333,-149.15,82.42,73,29,12.8,scattered clouds
173,Duncan,US,34.5023,-97.9578,56.35,80,90,3.44,overcast clouds
174,Sinnamary,GF,5.3833,-52.95,76.71,91,100,7.87,overcast clouds
175,Saint Anthony,US,45.0205,-93.218,32.25,70,90,1.99,light snow
176,Tuatapere,NZ,-46.1333,167.6833,51.82,89,100,6.82,light rain
177,Hasaki,JP,35.7333,140.8333,50.29,54,9,14.47,clear sky
178,Alice Springs,AU,-23.7,133.8833,85.55,20,1,17.27,clear sky
179,Bhind,IN,26.5642,78.7883,66.69,53,24,4.99,few clouds
180,Nikolskoye,RU,59.7035,30.7861,10.02,93,91,6.22,overcast clouds
181,Shitkino,RU,56.3703,98.3543,20.23,85,100,12.33,overcast clouds
182,Naze,JP,28.3667,129.4833,61.72,60,93,10.76,overcast clouds
183,Luderitz,NA,-26.6481,15.1594,58.41,89,5,4.61,clear sky
184,Plouzane,FR,48.3833,-4.6167,44.65,75,75,21.85,broken clouds
185,Burgos,ES,42.3394,-3.7079,34.21,86,0,11.5,clear sky
186,Jalu,LY,29.0331,21.5482,54.39,74,0,10.33,clear sky
187,Eenhana,NA,-17.4667,16.3333,68.27,70,100,4.27,overcast clouds
188,Skjervoy,NO,70.0311,20.9714,22.84,60,1,11.43,clear sky
189,Edd,ER,13.9297,41.6925,78.48,49,0,16.17,clear sky
190,Talara,PE,-4.5772,-81.2719,66.81,83,64,13.27,broken clouds
191,Hirara,JP,24.8,125.2833,73.67,49,20,18.41,few clouds
192,Olinda,BR,-8.0089,-34.8553,76.73,88,75,6.91,light rain
193,Lagoa,PT,39.05,-27.9833,63.1,78,14,10.96,few clouds
194,Gubkinskiy,RU,64.434,76.5026,-15.12,98,100,7.36,overcast clouds
195,Kruisfontein,ZA,-34.0033,24.7314,60.89,97,100,15.26,light rain
196,Nanortalik,GL,60.1432,-45.2371,33.35,99,100,15.1,snow
197,Fagersta,SE,60.0042,15.7932,21.79,95,100,6.8,overcast clouds
198,Nelson Bay,AU,-32.7167,152.15,71.1,64,100,14.81,overcast clouds
199,Noumea,NC,-22.2763,166.4572,87.78,99,42,10.16,scattered clouds
200,Gornoye Loo,RU,43.7129,39.6049,47.98,68,100,7.94,light rain
201,Veraval,IN,20.9,70.3667,74.61,67,4,9.75,clear sky
202,Castro,BR,-24.7911,-50.0119,58.3,99,42,5.53,scattered clouds
203,Luganville,VU,-15.5333,167.1667,83.7,66,69,11.81,broken clouds
204,Talnakh,RU,69.4865,88.3972,-30.8,99,100,6.87,overcast clouds
205,Erenhot,CN,43.6475,111.9767,29.44,43,56,15.48,broken clouds
206,Loikaw,MM,19.6742,97.2094,69.58,66,24,2.55,few clouds
207,Hamilton,US,39.1834,-84.5333,42.67,68,1,4.61,clear sky
208,Sawakin,SD,19.1059,37.3321,78.82,72,20,3.04,few clouds
209,Chokurdakh,RU,70.6333,147.9167,-41.17,100,56,3.31,broken clouds
210,Warri,NG,5.5167,5.75,78.55,86,99,3.13,overcast clouds
211,Port Hardy,CA,50.6996,-127.4199,39.2,93,20,8.05,few clouds
212,Shimoda,JP,34.6667,138.95,52.16,63,87,12.95,overcast clouds
213,Bethel,US,41.3712,-73.414,43.11,76,1,1.01,clear sky
214,Dubbo,AU,-32.25,148.6167,77.13,44,40,17.27,scattered clouds
215,Qasigiannguit,GL,68.8193,-51.1922,35.85,43,100,31.45,light rain
216,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,17.27,few clouds
217,State College,US,40.7934,-77.86,41.65,46,40,1.01,scattered clouds
218,Tual,ID,-5.6667,132.75,82.11,81,100,15.1,light rain
219,Mackay,AU,-21.15,149.2,92.68,66,0,14.97,clear sky
220,Pangnirtung,CA,66.1451,-65.7125,19.4,86,90,6.91,light snow
221,Yangambi,CD,0.8102,24.4336,70.57,99,100,2.35,overcast clouds
222,Kalulushi,ZM,-12.8378,28.0919,62.24,45,6,4.23,clear sky
223,Saldanha,ZA,-33.0117,17.9442,59.05,94,100,10.04,light rain
224,La Ronge,CA,55.1001,-105.2842,-0.15,78,90,3.44,light snow
225,Kenai,US,60.5544,-151.2583,8.02,88,90,4.61,light snow
226,Bursa,TR,40.1667,29.0833,41.04,86,96,1.72,overcast clouds
227,Oranjemund,NA,-28.55,16.4333,59.81,90,51,9.04,broken clouds
228,Waipawa,NZ,-41.4122,175.5153,68.63,57,47,12.77,light rain
229,Kuching,MY,1.55,110.3333,79.02,94,40,3.44,scattered clouds
230,Half Moon Bay,US,37.4636,-122.4286,54.88,87,90,1.01,overcast clouds
231,Buala,SB,-8.145,159.5921,83.57,78,100,3.89,moderate rain
232,College,US,64.8569,-147.8028,-7.78,71,75,0.0,light snow
233,Maldonado,UY,-34.6667,-54.9167,65.59,96,86,5.1,overcast clouds
234,Maragogi,BR,-9.0122,-35.2225,77.07,87,58,8.41,broken clouds
235,Sept-Iles,CA,50.2001,-66.3821,17.06,69,1,5.01,clear sky
236,Waddan,LY,29.1614,16.139,47.44,72,0,4.21,clear sky
237,Merauke,ID,-8.4667,140.3333,88.56,61,95,8.23,overcast clouds
238,Kirakira,SB,-10.4544,161.9205,85.96,70,78,1.21,broken clouds
239,Madimba,TZ,-10.4,40.3333,78.87,81,82,8.77,broken clouds
240,Sabzevar,IR,36.2126,57.6819,37.51,79,0,0.67,clear sky
241,Boyolangu,ID,-8.1181,111.8935,80.91,77,100,2.08,overcast clouds
242,Heihe,CN,50.2441,127.4902,15.4,92,52,9.44,broken clouds
243,Seidu,SL,9.0167,-10.6,71.46,60,75,2.55,broken clouds
244,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,29,0,17.27,clear sky
245,Kamen-Na-Obi,RU,53.7884,81.3423,15.39,97,98,6.33,overcast clouds
246,Kamaishi,JP,39.2667,141.8833,38.35,52,35,1.52,scattered clouds
247,Cabo San Lucas,MX,22.8909,-109.9124,78.51,75,1,11.5,clear sky
248,Neiafu,TO,-18.65,-173.9833,84.88,74,75,8.05,light rain
249,Omboue,GA,-1.5746,9.2618,77.11,92,100,6.82,light rain
250,Husavik,IS,66.0449,-17.3389,13.91,79,57,15.66,broken clouds
251,Qaqortoq,GL,60.7167,-46.0333,37.9,98,100,17.85,moderate rain
252,Corvallis,US,44.5646,-123.262,52.86,91,90,8.01,overcast clouds
253,Erzin,TR,36.9559,36.2,54.12,50,1,9.35,clear sky
254,Chake Chake,TZ,-5.2459,39.7666,75.43,86,5,2.48,light rain
255,Mecca,SA,21.4267,39.8261,70.61,78,0,0.67,clear sky
256,Sao Filipe,CV,14.8961,-24.4956,75.27,75,100,8.03,overcast clouds
257,Barcelos,PT,41.5388,-8.6151,49.68,86,54,7.34,broken clouds
258,Faanui,PF,-16.4833,-151.75,81.39,62,48,13.51,scattered clouds
259,Ivrea,IT,45.4672,7.8762,39.45,83,63,1.01,broken clouds
260,Lompoc,US,34.6391,-120.4579,54.32,83,1,3.44,clear sky
261,Nishihara,JP,26.1842,127.7558,71.26,45,75,11.5,broken clouds
262,Yeniseysk,RU,58.4497,92.1703,20.12,88,100,10.2,overcast clouds
263,Faya,SA,18.3851,42.4509,46.51,39,0,2.33,clear sky
264,Esperance,AU,-33.8667,121.9,76.84,51,0,10.33,clear sky
265,Ribeira Grande,PT,38.5167,-28.7,63.77,75,36,12.86,scattered clouds
266,Limoges,FR,45.75,1.3333,38.23,100,90,8.05,overcast clouds
267,Pevek,RU,69.7008,170.3133,-27.33,100,26,3.56,scattered clouds
268,Kholtoson,RU,50.2981,103.3097,19.29,64,3,4.21,clear sky
269,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,19.57,broken clouds
270,Sembe,CG,1.6481,14.5806,71.38,97,100,1.32,overcast clouds
271,Camana,PE,-16.6228,-72.7111,67.89,88,100,7.0,overcast clouds
272,Kalmunai,LK,7.4167,81.8167,80.38,79,1,3.33,clear sky
273,Villa Rica,US,33.7321,-84.9191,61.34,96,100,2.89,overcast clouds
274,Tiznit,MA,29.5833,-9.5,53.04,56,31,1.48,scattered clouds
275,Clyde River,CA,70.4692,-68.5914,12.43,92,100,41.43,snow
276,Krasnoarmeysk,RU,51.0239,45.6969,29.28,92,100,2.75,overcast clouds
277,Ostersund,SE,63.1792,14.6357,6.62,92,90,5.75,overcast clouds
278,Udachnyy,RU,66.4167,112.4,-24.56,74,95,19.62,overcast clouds
279,Ketchikan,US,55.3422,-131.6461,30.67,86,75,3.44,broken clouds
280,Kenora,CA,49.8167,-94.4337,19.38,85,40,6.91,scattered clouds
281,Liverpool,GB,53.4106,-2.9779,45.77,80,75,14.0,moderate rain
282,Fucecchio,IT,43.7278,10.8101,54.0,82,16,11.01,few clouds
283,Manado,ID,1.487,124.8455,77.77,88,40,3.44,scattered clouds
284,Saqqez,IR,36.2499,46.2735,39.0,23,83,3.27,broken clouds
285,Khandagayty,RU,50.7333,92.05,8.94,91,17,3.44,few clouds
286,Mitsamiouli,KM,-11.3847,43.2844,81.48,77,43,15.79,scattered clouds
287,Thanh Hoa,VN,19.8,105.7667,70.36,42,1,5.12,clear sky
288,Vila Velha,BR,-20.3297,-40.2925,73.35,91,75,1.14,broken clouds
289,Pucallpa,PE,-8.3791,-74.5539,78.84,89,75,4.61,broken clouds
290,Imeni Poliny Osipenko,RU,52.4201,136.4853,2.66,85,88,13.42,overcast clouds
291,San Isidro,PE,-12.1167,-77.05,69.01,83,40,3.0,scattered clouds
292,Raga,SS,8.4596,25.678,73.27,35,65,3.85,broken clouds
293,Auki,SB,-8.7676,160.7034,83.52,77,100,4.36,overcast clouds
294,Tabou,CI,4.423,-7.3528,79.09,84,45,4.97,scattered clouds
295,Bonavista,CA,48.6499,-53.1147,30.11,60,92,26.4,light snow
296,Praya,CV,14.9215,-23.5087,73.94,78,75,14.97,broken clouds
297,Kommunar,RU,59.6206,30.39,9.66,98,81,4.83,broken clouds
298,Margate,GB,51.3813,1.3862,40.96,86,100,3.0,light rain
299,Ofunato,JP,39.0717,141.7167,38.35,54,52,13.62,broken clouds
300,Okato,NZ,-39.2,173.8833,68.41,89,93,15.75,overcast clouds
301,Odweyne,SO,9.4092,45.064,59.14,77,0,10.07,clear sky
302,Payson,US,40.0444,-111.7321,50.4,59,1,1.99,clear sky
303,Burias,PH,11.4463,122.5497,77.83,82,100,11.9,overcast clouds
304,Lorengau,PG,-2.0226,147.2712,81.54,85,100,19.13,heavy intensity rain
305,Ewa Beach,US,21.3156,-158.0072,73.35,68,90,10.0,light rain
306,Preobrazheniye,RU,42.9019,133.9064,33.17,35,0,11.7,clear sky
307,Chegutu,ZW,-18.1302,30.1407,72.93,40,5,10.47,clear sky
308,Port Augusta,AU,-32.5,137.7667,81.72,24,100,4.23,overcast clouds
309,Dongying,CN,37.4564,118.4856,49.93,40,0,6.2,clear sky
310,Nouakchott,MR,18.0858,-15.9785,73.33,33,100,11.63,overcast clouds
311,Kholodnyy,RU,62.7167,147.95,-44.45,99,85,0.6,overcast clouds
312,Moses Lake,US,47.1301,-119.2781,40.23,81,90,6.91,overcast clouds
313,Carutapera,BR,-1.195,-46.02,77.02,91,48,4.41,scattered clouds
314,Cam Ranh,VN,11.9214,109.1591,71.56,88,40,16.11,scattered clouds
315,Vilhena,BR,-12.7406,-60.1458,71.42,94,100,2.42,overcast clouds
316,Bjornevatn,NO,69.6672,29.9847,-7.26,84,90,3.44,light snow
317,Vostok,RU,46.4856,135.8833,13.46,72,77,5.12,broken clouds
318,Caravelas,BR,-17.7125,-39.2481,70.97,94,1,3.58,clear sky
319,Aden,YE,12.7794,45.0367,78.94,65,1,13.04,clear sky
320,Ostrovnoy,RU,68.0531,39.5131,6.35,95,83,8.43,broken clouds
321,Lakselv,NO,70.0513,24.9718,10.22,72,23,16.11,few clouds
322,Parrita,CR,9.5201,-84.3225,83.97,86,91,2.73,overcast clouds
323,Huilong,CN,31.8111,121.655,59.99,53,9,7.52,clear sky
324,Moron,AR,-34.6534,-58.6198,69.98,82,97,5.01,overcast clouds
325,Okhotsk,RU,59.3833,143.3,-10.66,88,100,11.68,overcast clouds
326,Evensk,RU,61.95,159.2333,-2.24,80,97,4.65,overcast clouds
327,Ambilobe,MG,-13.2,49.05,76.35,72,41,4.25,scattered clouds
328,Gambela,ET,8.25,34.5833,76.53,46,18,3.04,few clouds
329,Lentekhi,GE,42.7856,42.7261,45.3,50,100,5.88,overcast clouds
330,Conde,BR,-7.2597,-34.9075,78.26,89,75,6.91,broken clouds
331,Nuuk,GL,64.1835,-51.7216,43.41,39,75,10.36,broken clouds
332,Novoilinsk,RU,51.6829,108.7143,25.74,81,100,10.36,overcast clouds
333,Athabasca,CA,54.7169,-113.2854,12.02,84,100,10.45,light snow
334,Bubaque,GW,11.2833,-15.8333,80.6,77,24,13.62,few clouds
335,Kudahuvadhoo,MV,2.6708,72.8944,82.11,77,17,11.41,few clouds
336,Non Sang,TH,16.8687,102.5664,73.89,42,12,6.67,few clouds
