City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
437,Palu,ID,86.81,broken clouds,-0.8917,119.8707,Hotel Santika Palu
442,Hambantota,LK,77.34,mist,6.1241,81.1185,Bungalow 63
443,Kiunga,PG,81.52,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
449,Mazagao,BR,77.05,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
452,Inhambane,MZ,76.32,clear sky,-23.865,35.3833,Oceano
453,Kencong,ID,85.15,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
456,Santarem,BR,75.33,broken clouds,-2.4431,-54.7083,Ecotur Lodge
471,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
475,Pandan,PH,80.19,broken clouds,14.0453,124.1694,Bonifacio Lodge
478,La Asuncion,VE,89.33,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
479,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
487,Beitbridge,ZW,76.62,scattered clouds,-22.2167,30.0,Beitbridge Express Hotel
495,Quatre Cocos,MU,78.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
504,Manokwari,ID,82.87,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
505,Akyab,MM,78.1,overcast clouds,20.15,92.9,Hotel Memory
511,Belem De Sao Francisco,BR,81.21,moderate rain,-8.7539,-38.9658,Village Hotel
513,Thinadhoo,MV,81.84,scattered clouds,0.5333,72.9333,
516,Otane,NZ,77.02,broken clouds,-39.8833,176.6333,Ludlow Farmstay
520,Empalme,MX,75.11,overcast clouds,27.9667,-110.8167,casa alejandro lopez
523,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
527,Itarema,BR,79.43,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
532,Payyannur,IN,79.2,clear sky,12.1,75.2,Kavvayi Beach House
538,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
540,Bolgatanga,GH,75.61,few clouds,10.7856,-0.8514,Mama's Place
548,Mocuba,MZ,75.45,clear sky,-16.8392,36.9856,Phama Lodge
550,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
551,Puerto Carreno,CO,78.24,broken clouds,6.189,-67.4859,Casa Hotel Victoria
552,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
555,Poum,NC,81.34,clear sky,-20.2333,164.0167,Gîte kajeon
559,Trincomalee,LK,79.99,clear sky,8.5711,81.2335,Welcombe Hotel
